from,to,time,time period,edge,directly
JFAT,36,,,,
KAW,36,,,,
CGB,36,,,,
HG,36,,,,
HEG,36,,,,
CG,36,,,,
STB,36,,,,
BD,36,,,,
JFAT,36,,,,
36,KAW,,,,
KAW,CGB,,,,
CGB,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
STB,BD,,,,
HG,37,,,,
HEG,37,,,,
CG,37,,,,
STB,37,,,,
BD,37,,,,
37,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
STB,BD,,,,
HG,38,,,,
OMGG,38,,,,
HG,38,,,,
HEG,38,,,,
CG,38,,,,
STB,38,,,,
38,HG,,,,
HG,OMGG,,,,
OMGG,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
CRV,39,,,,
HG,39,,,,
OMGG,39,,,,
HG,39,,,,
HEG,39,,,,
CG,39,,,,
STB,39,,,,
CRV,39,,,,
39,HG,,,,
HG,OMGG,,,,
OMGG,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
CRV,40,,,,
HG,40,,,,
OMGG,40,,,,
HG,40,,,,
HEG,40,,,,
CG,40,,,,
STB,40,,,,
CRV,40,,,,
40,HG,,,,
HG,OMGG,,,,
OMGG,HG,,,,
HG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
FGW,41,,,,
GRH,41,,,,
KKVD,41,,,,
AW,41,,,,
CHS,41,,,,
HG,41,,,,
RLFG,41,,,,
HEG,41,,,,
CG,41,,,,
STB,41,,,,
FGW,41,,,,
41,GRH,,,,
GRH,KKVD,,,,
KKVD,AW,,,,
AW,CHS,,,,
CHS,HG,,,,
HG,RLFG,,,,
RLFG,HEG,,,,
HEG,CG,,,,
CG,STB,,,,
FEM,BAB,,3,14,
FEM,KB,,3,14,
FEM,HV,,3,14,
FEM,HG,,3,14,
BAB,FEM,,3,14,
BAB,KB,,3,14,
BAB,HV,,3,14,
BAB,HG,,3,14,
KB,BAB,,3,14,
KB,HV,,3,14,
KB,HG,,3,14,
KB,FEM,,3,14,
HV,BAB,,3,14,
HV,KB,,3,14,
HV,HG,,3,14,
HV,FEM,,3,14,
HG,BAB,,3,14,
HG,KB,,3,14,
HG,HV,,3,14,
HG,FEM,,3,14,
HG,AdW,,,13,
AdW,HG,,,13,
HG,RG,,,13,
RG,HG,,,13,
HG,TH,,,13,
TH,HG,,,13,
HG,AS,,,13,
AS,HG,,,13,
HG,HE,,,13,
HE,HG,,,13,
HG,JL,,,13,
JL,HG,,,13,
HG,VM,,,14,
VM,HG,,,14,
HG,EG,,,13,
EG,HG,,,13,
HG,MF,,,13,
MF,HG,,,13,
HG,JOL,,,14,
JOL,HG,,,14,
HG,PiR,,,14,
PiR,HG,,,14,
HG,EA,,,13,
EA,HG,,,13,
AdW,MF,,,14,
MF,AdW,,,14,
AdW,AS,,,14,
AS,AdW,,,14,
AdW,RG,,,13,
RG,AdW,,,13,
AdW,VM,,,13,
VM,AdW,,,13,
AdW,JOL,,,13,
JOL,AdW,,,13,
AdW,EG,,,13,
EG,AdW,,,13,
RG,TH,,,13,
TH,RG,,,13,
RG,AS,,,13,
AS,RG,,,13,
TH,JOL,,,13,
JOL,TH,,,13,
TH,HE,,,14,
HE,TH,,,14,
AS,JL,,,14,
JL,AS,,,14,
AS,VM,,,14,
VM,AS,,,14,
AS,RG,,,14,
RG,AS,,,14,
AS,MF,,,14,
MF,AS,,,14,
AS,JOL,,,14,
JOL,AS,,,14,
JL,RG,,,14,
RG,JL,,,14,
JL,MF,,,14,
MF,JL,,,14,
JL,JOL,,,14,
JOL,JL,,,14,
VM,EG,,,13,
EG,VM,,,13,
MF,HE,,,13,
HE,MF,,,13,
JOL,EG,,,13,
EG,JOL,,,13,
KH,TH,,,14,
TH,KH,,,14,
KH,HE,,,13,
HE,KH,,,13,
JOL,KH,,,13,
KH,JOL,,,13,
EA,KH,,,13,
KH,EA,,,13,
