from,to,time,time_period,edge,directly
HG,33,1944,4,,
HEG,33,1956,6,,
CG,33,1968,6,,
STB,33,2014,8,,
PAR,JH,1929,2,,2
JH,RLFG,1941,4,1,1
RLFG,MC,1941,4,1,1
MC,HG,1944,4,,2
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
PAR,34,1895,1,15,1
JH,34,1929,2,12,
RLFG,34,1941,4,12,
CV,34,1941,4,12,
HG,34,1944,4,12,
HEG,34,1956,6,12,
CG,34,1968,6,12,
STB,34,2025,8,12,
PAR,JH,1929,2,,2
JH,RLFG,1941,4,1,1
RLFG,CV,1941,4,1,1
CV,HG,1944,4,,2
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
GDT,35,,,15,
EC,35,1930,2,12,
CGB,35,1930,2,12,
PAG,35,1930,2,12,
LOG,35,1930,2,12,
HG,35,1947,5,12,
HEG,35,1956,6,12,
CG,35,1968,6,12,
STB,35,2014,8,12,
GDT,EC,1930,2,,2
EC,CGB,1930,2,1,1
CGB,PAG,1930,2,1,1
PAG,LOG,1930,2,1,1
LOG,HG,1947,5,,2
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
JFAT,36,1792,1,15,1
KAW,36,1949,5,12,
CGB,36,1944,4,12,
HG,36,1944,4,12,
HEG,CG,1956,6,12,
CG,36,1968,6,12,
STB,36,2014,8,12,
BD,36,2021,8,12,
JFAT,KAW,1940,4,1,2
KAW,CGB,1944,4,1,2
CGB,HG,1944,4,1,1
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
STB,BD,2021,8,7,1
HG,37,1956,6,12,1
HEG,37,1968,6,12,1
CG,37,2014,8,12,1
STB,37,2021,8,12,1
BD,37,2025,8,12,1
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
STB,BD,2021,8,7,1
HG,38,1945,4,12,1
OMGG,38,1950,5,12,1
HG,38,1956,6,12,1
HEG,38,1968,6,12,1
CG,38,2014,8,12,1
STB,38,2025,8,12,1
HG,OMGG,1945,4,9,1
OMGG,HG,1950,5,,1
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
CRV,39,1922,2,15,1
HG,39,1945,4,12,1
OMGG,39,1950,5,12,1
HG,39,1956,6,12,1
HEG,39,1968,6,12,1
CG,39,2014,8,12,1
STB,39,2025,8,12,1
CRV,HG,1922,4,,2
HG,OMGG,1945,5,9,1
OMGG,HG,1950,6,,1
HG,HEG,1956,6,4,1
HEG,CG,1968,8,4,1
CG,STB,2014,8,4,1
CRV,40,1921,2,15,1
HG,40,1945,4,12,1
OMGG,40,1950,5,12,1
HG,40,1956,6,12,1
HEG,40,1968,6,12,1
CG,40,2014,8,12,1
STB,40,2025,8,12,1
CRV,HG,1921,2,,2
HG,OMGG,1945,4,9,1
OMGG,HG,1950,5,,1
HG,HEG,1956,6,4,1
HEG,CG,1968,6,4,1
CG,STB,2014,8,4,1
FGW,41,1831,1,15,1
FL ,41,,,,
GRH,41,1916,1,12,1
KKVD,41,1916,1,12,1
AW,41,1921,2,12,1
CHS,41,1924,2,12,1
HG,41,1956,6,12,1
RLFG,41,1956,6,12,1
HEG,41,1968,6,12,1
CG,41,2014,8,12,1
STB,41,2025,8,12,1
FGW,FL,1831,1,,2
FL ,GRH,,,,2
